Hillsborough County,Hillsborough,Florida,1291578
Holmes County,Holmes,Florida,19717
Indian River County,Indian River,Florida,141994
Jackson County,Jackson,Florida,48922
Jefferson County,Jefferson,Florida,14194
Lafayette County,Lafayette,Florida,8848
Lake County,Lake,Florida,308034
Lee County,Lee,Florida,661115
Leon County,Leon,Florida,281845
Levy County,Levy,Florida,39644
Liberty County,Liberty,Florida,8349
Madison County,Madison,Florida,18728
Manatee County,Manatee,Florida,342106
Marion County,Marion,Florida,337362
Martin County,Martin,Florida,151263
Miami-Dade County,Miami-Dade,Florida,2617176
Monroe County,Monroe,Florida,76351
Nassau County,Nassau,Florida,75710
Okaloosa County,Okaloosa,Florida,193811
Okeechobee County,Okeechobee,Florida,39330
Orange County,Orange,Florida,1225267
Osceola County,Osceola,Florida,298504
Palm Beach County,Palm Beach,Florida,1372171
Pasco County,Pasco,Florida,475502
Pinellas County,Pinellas,Florida,929048
Polk County,Polk,Florida,623009
Putnam County,Putnam,Florida,72577
St. Johns County,St. Johns,Florida,209647
St. Lucie County,St. Lucie,Florida,286832
Santa Rosa County,Santa Rosa,Florida,161096
Sarasota County,Sarasota,Florida,390429
Seminole County,Seminole,Florida,436041
Sumter County,Sumter,Florida,107056
Suwannee County,Suwannee,Florida,43734
Taylor County,Taylor,Florida,22857
Union County,Union,Florida,15136
Volusia County,Volusia,Florida,500800
Wakulla County,Wakulla,Florida,31022
Walton County,Walton,Florida,59807
Washington County,Washington,Florida,24624
Appling County,Appling,Georgia,18440
Atkinson County,Atkinson,Georgia,8290
Bacon County,Bacon,Georgia,11216
Baker County,Baker,Georgia,3341
Baldwin County,Baldwin,Georgia,46039
Banks County,Banks,Georgia,18415
Barrow County,Barrow,Georgia,71453
Bartow County,Bartow,Georgia,101273
Ben Hill County,Ben Hill,Georgia,17515
Berrien County,Berrien,Georgia,19048
Bibb County,Bibb,Georgia,154721
Bleckley County,Bleckley,Georgia,12771
Brantley County,Brantley,Georgia,18292
Brooks County,Brooks,Georgia,15516
Bryan County,Bryan,Georgia,33157
Bulloch County,Bulloch,Georgia,71214
Burke County,Burke,Georgia,22923
Butts County,Butts,Georgia,23361
Calhoun County,Calhoun,Georgia,6523
Camden County,Camden,Georgia,51476
Candler County,Candler,Georgia,10937
Carroll County,Carroll,Georgia,112355
Catoosa County,Catoosa,Georgia,65311
Charlton County,Charlton,Georgia,13255
Chatham County,Chatham,Georgia,278434
Chattahoochee County,Chattahoochee,Georgia,12842
Chattooga County,Chattooga,Georgia,25138
Cherokee County,Cherokee,Georgia,225106
Clarke County,Clarke,Georgia,121265
Clay County,Clay,Georgia,3045
Clayton County,Clayton,Georgia,264220
Clinch County,Clinch,Georgia,6795
Cobb County,Cobb,Georgia,717190
Coffee County,Coffee,Georgia,43220
Colquitt County,Colquitt,Georgia,46275
Columbia County,Columbia,Georgia,135416
Cook County,Cook,Georgia,17066
Coweta County,Coweta,Georgia,133180
Crawford County,Crawford,Georgia,12504
Crisp County,Crisp,Georgia,23336
Dade County,Dade,Georgia,16507
Dawson County,Dawson,Georgia,22686
Decatur County,Decatur,Georgia,27359
DeKalb County,DeKalb,Georgia,713340
Dodge County,Dodge,Georgia,21221
Dooly County,Dooly,Georgia,14304
Dougherty County,Dougherty,Georgia,92969
Douglas County,Douglas,Georgia,136379
Early County,Early,Georgia,10542
Echols County,Echols,Georgia,4057
Effingham County,Effingham,Georgia,54456
Elbert County,Elbert,Georgia,19599
Emanuel County,Emanuel,Georgia,22867
Evans County,Evans,Georgia,10833
Fannin County,Fannin,Georgia,23760
Fayette County,Fayette,Georgia,108365
Floyd County,Floyd,Georgia,95821
Forsyth County,Forsyth,Georgia,195405
Franklin County,Franklin,Georgia,22009
Fulton County,Fulton,Georgia,984293
Gilmer County,Gilmer,Georgia,28579
Glascock County,Glascock,Georgia,3102
Glynn County,Glynn,Georgia,81508
Gordon County,Gordon,Georgia,55757
Grady County,Grady,Georgia,25278
Greene County,Greene,Georgia,16321
Gwinnett County,Gwinnett,Georgia,859304
Habersham County,Habersham,Georgia,43300
Hall County,Hall,Georgia,187745
Hancock County,Hancock,Georgia,8879
Haralson County,Haralson,Georgia,28495
Harris County,Harris,Georgia,32663
Hart County,Hart,Georgia,25446
Heard County,Heard,Georgia,11558
Henry County,Henry,Georgia,211128
Houston County,Houston,Georgia,147658
Irwin County,Irwin,Georgia,9427
Jackson County,Jackson,Georgia,61044
Jasper County,Jasper,Georgia,13601
Jeff Davis County,Jeff Davis,Georgia,15004
Jefferson County,Jefferson,Georgia,16320
Jenkins County,Jenkins,Georgia,9269
Johnson County,Johnson,Georgia,9767
Jones County,Jones,Georgia,28569
Lamar County,Lamar,Georgia,17959
Lanier County,Lanier,Georgia,10408
Laurens County,Laurens,Georgia,47999
Lee County,Lee,Georgia,29071
Liberty County,Liberty,Georgia,64135
Lincoln County,Lincoln,Georgia,7751
Long County,Long,Georgia,16624
Lowndes County,Lowndes,Georgia,112916
Lumpkin County,Lumpkin,Georgia,30918
McDuffie County,McDuffie,Georgia,21565
McIntosh County,McIntosh,Georgia,14007
Macon County,Macon,Georgia,14009
Madison County,Madison,Georgia,28057
Marion County,Marion,Georgia,8640
Meriwether County,Meriwether,Georgia,21232
Miller County,Miller,Georgia,5932
Mitchell County,Mitchell,Georgia,23045
Monroe County,Monroe,Georgia,26984
Montgomery County,Montgomery,Georgia,9021
Morgan County,Morgan,Georgia,17781
Murray County,Murray,Georgia,39267
Muscogee County,Muscogee,Georgia,202824
Newton County,Newton,Georgia,102446
Oconee County,Oconee,Georgia,34035
Oglethorpe County,Oglethorpe,Georgia,14548
Paulding County,Paulding,Georgia,146950
Peach County,Peach,Georgia,27014
Pickens County,Pickens,Georgia,29584
Pierce County,Pierce,Georgia,18938
Pike County,Pike,Georgia,17796
Polk County,Polk,Georgia,41183
Pulaski County,Pulaski,Georgia,11542
Putnam County,Putnam,Georgia,21371
Quitman County,Quitman,Georgia,2367
Rabun County,Rabun,Georgia,16235
Randolph County,Randolph,Georgia,7197
Richmond County,Richmond,Georgia,202003
Rockdale County,Rockdale,Georgia,86919
Schley County,Schley,Georgia,5089
Screven County,Screven,Georgia,14240
Seminole County,Seminole,Georgia,8945
Spalding County,Spalding,Georgia,63829
Stephens County,Stephens,Georgia,25683
Stewart County,Stewart,Georgia,5868
Sumter County,Sumter,Georgia,31364
Talbot County,Talbot,Georgia,6456
Taliaferro County,Taliaferro,Georgia,1703
Tattnall County,Tattnall,Georgia,25526
Taylor County,Taylor,Georgia,8464
Telfair County,Telfair,Georgia,16591
Terrell County,Terrell,Georgia,9022
Thomas County,Thomas,Georgia,44869
Tift County,Tift,Georgia,40286
Toombs County,Toombs,Georgia,27273
Towns County,Towns,Georgia,10771
Treutlen County,Treutlen,Georgia,6712
Troup County,Troup,Georgia,69053
Turner County,Turner,Georgia,8134
Twiggs County,Twiggs,Georgia,8481
Union County,Union,Georgia,21566
Upson County,Upson,Georgia,26566
Walker County,Walker,Georgia,68198
Walton County,Walton,Georgia,85754
Ware County,Ware,Georgia,35709
Warren County,Warren,Georgia,5558
Washington County,Washington,Georgia,20676
Wayne County,Wayne,Georgia,30077
Webster County,Webster,Georgia,2719
Wheeler County,Wheeler,Georgia,7909
White County,White,Georgia,27797
Whitfield County,Whitfield,Georgia,102945
Wilcox County,Wilcox,Georgia,8960
Wilkes County,Wilkes,Georgia,10010
Wilkinson County,Wilkinson,Georgia,9432
Worth County,Worth,Georgia,21291
Hawaii County,Hawaii,Hawaiʻi,190821
"Honolulu, City and County of","Honolulu, City and  of",Hawaiʻi,983429
Kalawao County,Kalawao,Hawaiʻi,90
Kauai County,Kauai,Hawaiʻi,69512
Maui County,Maui,Hawaiʻi,160202
Ada County,Ada,Idaho,416464
Adams County,Adams,Idaho,3828
Bannock County,Bannock,Idaho,83249
Bear Lake County,Bear Lake,Idaho,5943
Benewah County,Benewah,Idaho,9044
Bingham County,Bingham,Idaho,45290
Blaine County,Blaine,Idaho,21329
Boise County,Boise,Idaho,6795
Bonner County,Bonner,Idaho,40699
Bonneville County,Bonneville,Idaho,107517
Boundary County,Boundary,Idaho,10853
Butte County,Butte,Idaho,2642
Camas County,Camas,Idaho,1042
Canyon County,Canyon,Idaho,198871
Caribou County,Caribou,Idaho,6808
Cassia County,Cassia,Idaho,23331
Clark County,Clark,Idaho,867
Clearwater County,Clearwater,Idaho,8577
Custer County,Custer,Idaho,4249
Elmore County,Elmore,Idaho,26170
Franklin County,Franklin,Idaho,12854
Fremont County,Fremont,Idaho,12927
Gem County,Gem,Idaho,16686
Gooding County,Gooding,Idaho,15080
Idaho County,Idaho,Idaho,16116
Jefferson County,Jefferson,Idaho,26914
Jerome County,Jerome,Idaho,22514
Kootenai County,Kootenai,Idaho,144265
Latah County,Latah,Idaho,38078
Lemhi County,Lemhi,Idaho,7712
Lewis County,Lewis,Idaho,3902
Lincoln County,Lincoln,Idaho,5315
Madison County,Madison,Idaho,37450
Minidoka County,Minidoka,Idaho,20292
Nez Perce County,Nez Perce,Idaho,39915
Oneida County,Oneida,Idaho,4275
Owyhee County,Owyhee,Idaho,11472
Payette County,Payette,Idaho,22610
Power County,Power,Idaho,7719
Shoshone County,Shoshone,Idaho,12690
Teton County,Teton,Idaho,10275
Twin Falls County,Twin Falls,Idaho,79957
Valley County,Valley,Idaho,9606
Washington County,Washington,Idaho,9944
Adams County,Adams,Illinois,67130
Alexander County,Alexander,Illinois,7629
Bond County,Bond,Illinois,17470
Boone County,Boone,Illinois,53957
Brown County,Brown,Illinois,6860
Bureau County,Bureau,Illinois,34056
Calhoun County,Calhoun,Illinois,5059
Carroll County,Carroll,Illinois,14910
Cass County,Cass,Illinois,13324
Champaign County,Champaign,Illinois,204897
Christian County,Christian,Illinois,34298
Clark County,Clark,Illinois,16182
Clay County,Clay,Illinois,13566
Clinton County,Clinton,Illinois,37907
Coles County,Coles,Illinois,53697
Cook County,Cook,Illinois,5240700
Crawford County,Crawford,Illinois,19505
Cumberland County,Cumberland,Illinois,10939
DeKalb County,DeKalb,Illinois,104741
De Witt County,De Witt,Illinois,16420
Douglas County,Douglas,Illinois,19887
DuPage County,DuPage,Illinois,932126
Edgar County,Edgar,Illinois,17960
Edwards County,Edwards,Illinois,6672
Effingham County,Effingham,Illinois,34307
Fayette County,Fayette,Illinois,22060
Ford County,Ford,Illinois,13832
Franklin County,Franklin,Illinois,39202
Fulton County,Fulton,Illinois,36346
Gallatin County,Gallatin,Illinois,5415
Greene County,Greene,Illinois,13629
Grundy County,Grundy,Illinois,50228
Hamilton County,Hamilton,Illinois,8368
Hancock County,Hancock,Illinois,18618
Hardin County,Hardin,Illinois,4181
Henderson County,Henderson,Illinois,6990
Henry County,Henry,Illinois,49860
Iroquois County,Iroquois,Illinois,28982
Jackson County,Jackson,Illinois,59814
Jasper County,Jasper,Illinois,9592
Jefferson County,Jefferson,Illinois,38644
Jersey County,Jersey,Illinois,22641
Jo Daviess County,Jo Daviess,Illinois,22407
Johnson County,Johnson,Illinois,12677
Kane County,Kane,Illinois,523643
Kankakee County,Kankakee,Illinois,112120
Kendall County,Kendall,Illinois,119348
Knox County,Knox,Illinois,52078
Lake County,Lake,Illinois,703019
LaSalle County,LaSalle,Illinois,112183
Lawrence County,Lawrence,Illinois,16558
Lee County,Lee,Illinois,34858
Livingston County,Livingston,Illinois,38186
Logan County,Logan,Illinois,29964
McDonough County,McDonough,Illinois,32464
McHenry County,McHenry,Illinois,307409
McLean County,McLean,Illinois,174647
Macon County,Macon,Illinois,109278
Macoupin County,Macoupin,Illinois,46880
Madison County,Madison,Illinois,267225
Marion County,Marion,Illinois,38622
Marshall County,Marshall,Illinois,12153
Mason County,Mason,Illinois,14248
Massac County,Massac,Illinois,15073
Menard County,Menard,Illinois,12607
Mercer County,Mercer,Illinois,16178
Monroe County,Monroe,Illinois,33493
Montgomery County,Montgomery,Illinois,29654
Morgan County,Morgan,Illinois,35067
Moultrie County,Moultrie,Illinois,14876
Ogle County,Ogle,Illinois,52385
Peoria County,Peoria,Illinois,188429
Perry County,Perry,Illinois,21887
Piatt County,Piatt,Illinois,16433
Pike County,Pike,Illinois,16150
Pope County,Pope,Illinois,4312
Pulaski County,Pulaski,Illinois,5908
Putnam County,Putnam,Illinois,5801
Randolph County,Randolph,Illinois,32890
Richland County,Richland,Illinois,16182
Rock Island County,Rock Island,Illinois,147258
St. Clair County,St. Clair,Illinois,266955
Saline County,Saline,Illinois,24939
Sangamon County,Sangamon,Illinois,199145
Schuyler County,Schuyler,Illinois,7444
Scott County,Scott,Illinois,5222
Shelby County,Shelby,Illinois,22119
Stark County,Stark,Illinois,5907
Stephenson County,Stephenson,Illinois,46740
Tazewell County,Tazewell,Illinois,136352
Union County,Union,Illinois,17583
Vermilion County,Vermilion,Illinois,80329
Wabash County,Wabash,Illinois,11665
Warren County,Warren,Illinois,17726
Washington County,Washington,Illinois,14448
Wayne County,Wayne,Illinois,16612
White County,White,Illinois,14549
Whiteside County,Whiteside,Illinois,57557
Will County,Will,Illinois,682829
Williamson County,Williamson,Illinois,66924
Winnebago County,Winnebago,Illinois,290666
Woodford County,Woodford,Illinois,39273
Adams County,Adams,Indiana,34614
Allen County,Allen,Indiana,363014
Bartholomew County,Bartholomew,Indiana,79587
Benton County,Benton,Indiana,8767
Blackford County,Blackford,Indiana,12481
Boone County,Boone,Indiana,60477
Brown County,Brown,Indiana,15023
Carroll County,Carroll,Indiana,20086
Cass County,Cass,Indiana,38463
Clark County,Clark,Indiana,112938
Clay County,Clay,Indiana,26803
Clinton County,Clinton,Indiana,32916
Crawford County,Crawford,Indiana,10621
Daviess County,Daviess,Indiana,32407
Dearborn County,Dearborn,Indiana,49904
Decatur County,Decatur,Indiana,26277
DeKalb County,DeKalb,Indiana,42307
Delaware County,Delaware,Indiana,117484
Dubois County,Dubois,Indiana,42361
Elkhart County,Elkhart,Indiana,200563
Fayette County,Fayette,Indiana,23861
Floyd County,Floyd,Indiana,76244
